Planet,P[d],Rp[REarth],Rp_err,Mp[MEarth],Mp_err,Teq[K],Teq_err,Age[Gyr],age_err,Mstar[Msun],Ms_err,Rstar[Rsun],Rs_err,Teff[K],Teff_err,H,HeI,DHe[%],EW_He[mA],EW_up_err[mA],EW_low_err[mA],F_XUV[W/m2]
V1298Tau c,8.2489,5.2,0.39,76.0,76.,968,31,0.023,0.004,1.17,0.06,1.278,0.07,5050,100,NCH,NC,3.75,95.8,0.,0.,151.356
V1298Tau b,24.1399,9.77,0.65,203.0,60.0,677,22,0.023,0.004,1.17,0.06,1.278,0.07,5050,100,,NC,1.7,19.0,0.,0.,87.09
WASP-11 b,3.7225,11.1,0.25,156.0,8.0,992,14,7.6,6.,0.81,0.04,0.772,0.015,4900,65,,NC,1.56,16.6,0.,0.,1.9
WASP-12 b,1.0914,21.71,0.63,466.0,25.0,2592,57,2.0,1.,1.434,0.11,1.657,0.046,6300,200.,YH,ND,0.5,5.3,0.,0.,3.18
WASP-39 b,4.0553,14.34,0.45,89.0,10.0,1166,14,8.5,4.,0.913,0.047,0.939,0.022,5485,50,,NC,2.04,21.7,0.,0.,1.2
WASP-47 d,9.0305,3.567,0.045,14.2,1.3,919,13,6.5,2.6,1.04,0.031,1.137,0.013,5552,75,,NC,3.29,34.9,0.,0.,0.577
WASP-48 b,2.1436,18.7,1.1,328.0,15.,2035,52,7.9,2.,1.19,0.05,1.75,0.09,6000,150,,ND,0.25,2.7,2.2,2.2,
WASP-52 b,1.7498,14.04,0.3,137.9,7.6,1315,26,0.4,0.3,0.804,0.05,0.786,0.016,5000,100,YH,Y,3.44,39.583,1.4,1.4,24.8
WASP-69 b,3.8681,11.85,0.53,82.6,5.4,963,18,2.0,0.5,0.826,0.029,0.813,0.028,4700,50,NCH,Y,3.59,28.31,0.9,0.9,4.17
WASP-76 b,1.8099,20.78,0.86,284.1,4.4,2160,40,5.3,6.1,1.458,0.021,1.756,0.071,6329,25,YH,ND,0.88,1.7,0.,0.,112.2018
WASP-77 b,1.36,13.79,0.35,530.0,22.,1715,26.,6.2,4.,0.903,0.06,0.91,0.025,5617,72,NDH,ND,0.8,8.4,0.,0.,13.182
WASP-80 b,3.0679,11.2,0.35,171.0,11.0,825,19,0.1,0.1,0.577,0.05,0.586,0.018,4143,94.,,ND,0.85,2.48,0.,0.,1.6595
WASP-107 b,5.7215,10.54,0.22,35.0,3.2,770,60,8.3,4.3,0.69,0.05,0.66,0.02,4430,120,,Y,7.26,87.152,7.6,7.6,2.664
WASP-127 b,4.1781,15.36,0.45,57.2,6.4,1400,24,11.41,1.8,1.08,0.03,1.39,0.03,5620,85,NDH,ND,0.48,6.8,0.,0.,0.058
WASP-177 b,3.0717,17.7,7.4,161.0,12.0,1142,32,9.7,3.9,0.876,0.038,0.885,0.046,5017,70,,ND,1.28,6.8,1.6,1.6,3.5
WASP-189 b,2.724,18.15,0.24,632.0,60.,2641,34,0.75,0.13,2.03,0.066,2.36,0.03,8000,80,NCH,ND,0.3,3.2,0.,0.,
