#0 1.000000e-08 1.047278e+03
#1 1.250000e-02 2.615808e+03
#2 2.460000e-02 8.683814e+03
#3 3.530000e-02 5.780062e+03
#4 5.060000e-02 3.247285e+04
#5 7.850000e-02 3.982779e+04
#6 9.100000e-02 6.471770e+04
#7 1.120000e-01 9.874083e+04
#8 2.630000e-01 1.055698e+05
#
# 0 1.000000e-08  2.072637e+02
# 1 1.250000e-02  8.222123e+01
# 2 2.460000e-02  4.140626e+02
# 3 3.530000e-02  9.695432e+01
# 4 5.060000e-02  4.457441e+02
# 5 7.850000e-02  6.698192e+02
# 6 9.100000e-02  1.109179e+03
# 7 1.120000e-01  2.184991e+03
# 8 2.630000e-01  0.000000e+00
#
     0     1.000000e-08/1.250000e-02      1.287295e+03     15
     1     1.250000e-02/2.460000e-02      1.625946e+03     55
     2     2.460000e-02/3.530000e-02      3.837802e+03     36
     3     3.530000e-02/5.060000e-02      1.909059e+03     36
     4     5.060000e-02/7.850000e-02      1.739688e+04     51
     5     7.850000e-02/9.100000e-02      5.450159e+03     18
     6     9.100000e-02/1.120000e-01      1.610375e+04     36
     7     1.120000e-01/2.630000e-01      7.402119e+04     81
     8     2.630000e-01/1.000000e+12      1.491622e+04     8

