# H cross sections
# Alan Heays 2016-04-19
# Reference: NIST, mendoza1996, TOPbase_database
# photoabsorption: Photoabsorption cross section (cm2)
# photoionisation: Photoionisation cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
  21.1000000       9.78405e-20       9.78405e-20
  21.2000000       9.92409e-20       9.92409e-20
  21.3000000       1.00641e-19       1.00641e-19
  21.4000000       1.02058e-19       1.02058e-19
  21.5000000       1.03516e-19       1.03516e-19
  21.6000000       1.04976e-19       1.04976e-19
  21.7000000       1.06436e-19       1.06436e-19
  21.8000000       1.07896e-19       1.07896e-19
  21.9000000       1.09360e-19       1.09360e-19
  22.0000000       1.10876e-19       1.10876e-19
  22.1000000       1.12408e-19       1.12408e-19
  22.2000000       1.13940e-19       1.13940e-19
  22.3000000       1.15471e-19       1.15471e-19
  22.4000000       1.17003e-19       1.17003e-19
  22.5000000       1.18556e-19       1.18556e-19
  22.6000000       1.20154e-19       1.20154e-19
  22.7000000       1.21754e-19       1.21754e-19
  22.8000000       1.23354e-19       1.23354e-19
  22.9000000       1.24954e-19       1.24954e-19
  23.0000000       1.26554e-19       1.26554e-19
  23.1000000       1.28212e-19       1.28212e-19
  23.2000000       1.29909e-19       1.29909e-19
  23.3000000       1.31606e-19       1.31606e-19
  23.4000000       1.33303e-19       1.33303e-19
  23.5000000       1.35001e-19       1.35001e-19
  23.6000000       1.36700e-19       1.36700e-19
  23.7000000       1.38452e-19       1.38452e-19
  23.8000000       1.40225e-19       1.40225e-19
  23.9000000       1.41998e-19       1.41998e-19
  24.0000000       1.43770e-19       1.43770e-19
  24.1000000       1.45543e-19       1.45543e-19
  24.2000000       1.47319e-19       1.47319e-19
  24.3000000       1.49156e-19       1.49156e-19
  24.4000000       1.51015e-19       1.51015e-19
  24.5000000       1.52874e-19       1.52874e-19
  24.6000000       1.54733e-19       1.54733e-19
  24.7000000       1.56592e-19       1.56592e-19
  24.8000000       1.58452e-19       1.58452e-19
  24.9000000       1.60374e-19       1.60374e-19
  25.0000000       1.62330e-19       1.62330e-19
  25.1000000       1.64286e-19       1.64286e-19
  25.2000000       1.66243e-19       1.66243e-19
  25.3000000       1.68199e-19       1.68199e-19
  25.4000000       1.70156e-19       1.70156e-19
  25.5000000       1.72146e-19       1.72146e-19
  25.6000000       1.74193e-19       1.74193e-19
  25.7000000       1.76241e-19       1.76241e-19
  25.8000000       1.78289e-19       1.78289e-19
  25.9000000       1.80337e-19       1.80337e-19
  26.0000000       1.82384e-19       1.82384e-19
  26.1000000       1.84440e-19       1.84440e-19
  26.2000000       1.86558e-19       1.86558e-19
  26.3000000       1.88691e-19       1.88691e-19
  26.4000000       1.90824e-19       1.90824e-19
  26.5000000       1.92958e-19       1.92958e-19
  26.6000000       1.95091e-19       1.95091e-19
  26.7000000       1.97224e-19       1.97224e-19
  26.8000000       1.99398e-19       1.99398e-19
  26.9000000       2.01653e-19       2.01653e-19
  27.0000000       2.03911e-19       2.03911e-19
  27.1000000       2.06169e-19       2.06169e-19
  27.2000000       2.08427e-19       2.08427e-19
  27.3000000       2.10685e-19       2.10685e-19
  27.4000000       2.12943e-19       2.12943e-19
  27.5000000       2.15256e-19       2.15256e-19
  27.6000000       2.17616e-19       2.17616e-19
  27.7000000       2.19976e-19       2.19976e-19
  27.8000000       2.22336e-19       2.22336e-19
  27.9000000       2.24696e-19       2.24696e-19
  28.0000000       2.27056e-19       2.27056e-19
  28.1000000       2.29416e-19       2.29416e-19
  28.2000000       2.31840e-19       2.31840e-19
  28.3000000       2.34311e-19       2.34311e-19
  28.4000000       2.36781e-19       2.36781e-19
  28.5000000       2.39252e-19       2.39252e-19
  28.6000000       2.41722e-19       2.41722e-19
  28.7000000       2.44193e-19       2.44193e-19
  28.8000000       2.46663e-19       2.46663e-19
  28.9000000       2.49188e-19       2.49188e-19
  29.0000000       2.51775e-19       2.51775e-19
  29.1000000       2.54363e-19       2.54363e-19
  29.2000000       2.56951e-19       2.56951e-19
  29.3000000       2.59538e-19       2.59538e-19
  29.4000000       2.62126e-19       2.62126e-19
  29.5000000       2.64713e-19       2.64713e-19
  29.6000000       2.67327e-19       2.67327e-19
  29.7000000       2.70031e-19       2.70031e-19
  29.8000000       2.72741e-19       2.72741e-19
  29.9000000       2.75452e-19       2.75452e-19
  30.0000000       2.78163e-19       2.78163e-19
  30.1000000       2.80873e-19       2.80873e-19
  30.2000000       2.83584e-19       2.83584e-19
  30.3000000       2.86297e-19       2.86297e-19
  30.4000000       2.89099e-19       2.89099e-19
  30.5000000       2.91951e-19       2.91951e-19
  30.6000000       2.94803e-19       2.94803e-19
  30.7000000       2.97655e-19       2.97655e-19
  30.8000000       3.00507e-19       3.00507e-19
  30.9000000       3.03359e-19       3.03359e-19
  31.0000000       3.06211e-19       3.06211e-19
  31.1000000       3.09077e-19       3.09077e-19
  31.2000000       3.12033e-19       3.12033e-19
  31.3000000       3.15005e-19       3.15005e-19
  31.4000000       3.17977e-19       3.17977e-19
  31.5000000       3.20949e-19       3.20949e-19
  31.6000000       3.23920e-19       3.23920e-19
  31.7000000       3.26892e-19       3.26892e-19
  31.8000000       3.29864e-19       3.29864e-19
  31.9000000       3.32864e-19       3.32864e-19
  32.0000000       3.35975e-19       3.35975e-19
  32.1000000       3.39097e-19       3.39097e-19
  32.2000000       3.42218e-19       3.42218e-19
  32.3000000       3.45340e-19       3.45340e-19
  32.4000000       3.48462e-19       3.48462e-19
  32.5000000       3.51584e-19       3.51584e-19
  32.6000000       3.54706e-19       3.54706e-19
  32.7000000       3.57850e-19       3.57850e-19
  32.8000000       3.61108e-19       3.61108e-19
  32.9000000       3.64383e-19       3.64383e-19
  33.0000000       3.67657e-19       3.67657e-19
  33.1000000       3.70931e-19       3.70931e-19
  33.2000000       3.74205e-19       3.74205e-19
