#wl in A            flux in erg/cm^2/s/A
100.688675018748   13.9501318782496
104.20384772836   11.8110676394006
107.841739692904   12.1433174759379
111.990279327247   12.4849136270718
115.107290599257   11.1735910194851
118.717747607054   10.8678735911864
120.772265513446   9.20143201528386
122.862338708856   11.0196721711392
128.027284343678   10.7181660724301
131.139862596219   9.59240950714883
138.066850717803   9.20143201528386
141.423509254646   9.20143201528386
143.870970885322   7.37004058669005
146.360788051263   7.37004058669005
151.47043367744   7.79051673922242
157.29731573008   8.70480478745239
161.675352012629   10.0
164.473290083621   11.8110676394006
168.47193762553   13.9501318782496
172.567799627953   13.5684463095896
176.763239552844   14.3425544075018
181.060678322254   15.5873068275443
186.419699372204   16.2496261402599
190.624552671322   15.1608269833196
197.957645723121   16.0257837124139
206.279483715967   16.4765951192565
212.020834481315   18.9281615401725
219.422757796912   21.7444985870983
227.083091890413   23.6316461948315
230.221590886028   32.0644722601789
235.010858218441   34.8472631291726
241.551885694326   34.8472631291726
245.732159364312   44.7303616635973
245.732159364312   32.0644722601789
247.424455358884   62.3994444168983
252.571591458196   52.83133271436
257.825802704895   47.2823218804321
262.287711215327   44.7303616635973
266.826837084713   13.1972039306138
266.826837084713   45.9886437939449
269.587931888755   13.1972039306138
273.313887205019   24.9798807877256
274.253394674032   12.8361190081958
278.043831014154   24.9798807877256
283.827937673005   27.1478186723907
292.730489033958   26.4050349698218
293.736740431088   338.938171288204
313.526473485708   329.664580918036
314.604210393207   22.3561796240478
316.770810998115   14.7460159321419
323.360549567538   15.1608269833196
324.472090787084   24.2964134136008
331.222037995362   24.2964134136008
334.649487265777   22.3561796240478
343.963744094547   22.9850674818152
349.91634752273   18.4102735256216
354.752516063976   19.4606179420557
363.377200811415   32.0644722601789
363.377200811415   20.0080525455621
368.399410832787   32.0644722601789
373.491032455774   29.5039061607991
381.260713804103   32.0644722601789
383.886361096372   26.4050349698218
385.867456198736   20.0080525455621
391.872295002407   16.9400880228787
395.927346470995   13.5684463095896
398.653999198533   11.4879083956192
405.553066914332   10.5705208100098
406.947142200237   12.4849136270718
411.158186531928   14.3425544075018
415.412806287857   14.3425544075018
424.054580393247   14.7460159321419
426.974938354273   11.8110676394006
434.364125515514   10.2813038132378
435.857237864712   14.7460159321419
440.367440691087   17.9065552969238
443.400141245827   23.6316461948315
449.528342541533   22.3561796240478
457.307836743522   25.6825743597069
460.457201573952   22.3561796240478
462.040008011135   15.1608269833196
466.82114726728   13.5684463095896
470.036027890743   11.1735910194851
479.814121182388   12.1433174759379
481.463466392024   21.1495535800634
489.795626771702   23.6316461948315
494.863978122329   26.4050349698218
499.984776216065   57.4164245593573
508.637464599771   55.8454701877695
519.218578142919   51.3858297294321
520.110210925828   13.0154093377346
528.204124850366   13.5684463095896
529.111188144342   28.6966582222879
533.66992312063   32.0644722601789
537.345174563734   42.3161379345089
544.771783372993   42.3161379345089
548.523490554271   189.281615401725
558.016185253556   174.166191586207
565.728486607108   22.3561796240478
