Wavelength (angstrom)   Flux (erg / (Angstrom cm2 s))
4.927974700927734   0.0022604268181054764
5.927974700927734   0.0022604268181054764
6.927974700927734   0.002168049240055169
7.927974700927734   0.002092715988992381
8.927974700927734   0.0011912317219171516
9.927974700927734   0.0010218306561597713
10.927974700927734   0.0017050545856214937
11.927974700927734   0.003474063724154597
12.927974700927734   0.0048426612917463465
13.927974700927734   0.006031401579764617
14.927974700927734   0.005078348761854886
15.927974700927734   0.006146756370074318
16.927974700927734   0.005212156875866629
17.927974700927734   0.0061013888460056806
18.927974700927734   0.009524214174644314
19.927974700927734   0.014031833701408961
20.927974700927734   0.011322766474102495
21.927974700927734   0.009081041597833493
22.927974700927734   0.007571284017266278
23.927974700927734   0.006641511165054608
24.927974700927734   0.008879429598584931
25.927974700927734   0.0072269173236283735
26.927974700927734   0.007169812952903161
27.927974700927734   0.006451235978161153
28.927974700927734   0.0038660233064309432
29.927974700927734   0.0038660233064309432
30.927974700927734   0.0038660233064309432
31.927974700927734   0.006035916929808001
32.927974700927734   0.006031471470321466
33.927974700927734   0.0038528339208170155
34.927974700927734   0.0038528339208170155
35.927974700927734   0.0032734387199526626
36.927974700927734   0.0028563571947841275
37.927974700927734   0.0028563571947841275
38.927974700927734   0.0035195529545535924
39.927974700927734   0.0038486265870485386
40.927974700927734   0.0037674896663809796
41.927974700927734   0.0026568522998306103
42.927974700927734   0.002550213392891334
43.927974700927734   0.002550213392891334
44.927974700927734   0.0021932895562354897
45.927974700927734   0.0020800352912013352
46.927974700927734   0.0020800352912013352
47.927974700927734   0.0020800352912013352
48.927974700927734   0.0020374747555308623
49.927974700927734   0.00136143493935279
50.927974700927734   0.00136143493935279
51.927974700927734   0.00136143493935279
52.927974700927734   0.00136143493935279
53.927974700927734   0.00136143493935279
54.927974700927734   0.00136143493935279
55.927974700927734   0.00136143493935279
56.927974700927734   0.0007170328769203248
57.927974700927734   0.001110391901249486
58.927974700927734   0.0005481241302357707
59.927974700927734   0.0005507203567663347
60.927974700927734   0.0006109792249508151
61.927974700927734   0.0005598841383388869
62.927974700927734   0.0010967217288472217
63.927974700927734   0.0007885331232880408
64.92797470092773   0.0004801019844922206
65.92797470092773   0.0009026612945423624
66.92797470092773   0.0005643585365437454
67.92797470092773   0.0005641617543369603
68.92797470092773   0.00044338208110253195
69.92797470092773   0.00041530015749298367
70.92797470092773   0.00042755118163885763
71.92797470092773   0.0004554460963112386
72.92797470092773   0.000420987441083141
73.92797470092773   0.000570217490143551
74.92797470092773   0.0004777206288513429
75.92797470092773   0.0005992452670574929
76.92797470092773   0.0003633012042934419
77.92797470092773   0.0004662695424767143
78.92797470092773   0.00036849738776553053
79.92797470092773   0.0003696817857853099
80.92797470092773   0.00037446455484642024
81.92797470092773   0.0004416785460923736
82.92797470092773   0.00035637710327361726
83.92797470092773   0.0003273735420681105
84.92797470092773   0.0003262600372155686
85.92797470092773   0.0003629580905079532
86.92797470092773   0.00031579958808128513
87.92797470092773   0.0008230581175686038
88.92797470092773   0.0004739970558573091
89.92797470092773   0.0003085176696093613
90.92797470092773   0.000405391218660326
91.92797470092773   0.00027061855557614914
92.92797470092773   0.0002717422976232609
93.92797470092773   0.00026913572230561136
94.92797470092773   0.00028091499947756414
95.92797470092773   0.0003478320188083277
96.92797470092773   0.0003235223780646654
97.92797470092773   0.0011508174527460988
98.92797470092773   0.0002720669284100438
99.92797470092773   0.003509923511492023
100.92797470092773   0.00787178244698348
101.92797470092773   0.00787178244698348
102.92797470092773   0.00787178244698348
103.92797470092773   0.00787178244698348
104.92797470092773   0.00787178244698348
105.92797470092773   0.00787178244698348
106.92797470092773   0.00787178244698348
107.92797470092773   0.00787178244698348
108.92797470092773   0.00787178244698348
109.92797470092773   0.00787178244698348
110.92797470092773   0.00787178244698348
111.92797470092773   0.00787178244698348
112.92797470092773   0.00787178244698348
113.92797470092773   0.00787178244698348
114.92797470092773   0.00787178244698348
115.92797470092773   0.00787178244698348
116.92797470092773   0.00787178244698348
117.92797470092773   0.00787178244698348
118.92797470092773   0.00787178244698348
119.92797470092773   0.00787178244698348
120.92797470092773   0.00787178244698348
121.92797470092773   0.00787178244698348
122.92797470092773   0.00787178244698348
123.92797470092773   0.00787178244698348
124.92797470092773   0.00787178244698348
125.92797470092773   0.00787178244698348
126.92797470092773   0.00787178244698348
127.92797470092773   0.00787178244698348
128.92797470092773   0.00787178244698348
129.92797470092773   0.00787178244698348
130.92797470092773   0.00787178244698348
131.92797470092773   0.00787178244698348
132.92797470092773   0.00787178244698348
133.92797470092773   0.00787178244698348
134.92797470092773   0.00787178244698348
135.92797470092773   0.00787178244698348
136.92797470092773   0.00787178244698348
137.92797470092773   0.00787178244698348
138.92797470092773   0.00787178244698348
139.92797470092773   0.00787178244698348
140.92797470092773   0.00787178244698348
141.92797470092773   0.00787178244698348
142.92797470092773   0.00787178244698348
143.92797470092773   0.00787178244698348
144.92797470092773   0.00787178244698348
145.92797470092773   0.00787178244698348
146.92797470092773   0.00787178244698348
147.92797470092773   0.00787178244698348
148.92797470092773   0.00787178244698348
149.92797470092773   0.00787178244698348
150.92797470092773   0.00787178244698348
151.92797470092773   0.00787178244698348
152.92797470092773   0.00787178244698348
153.92797470092773   0.00787178244698348
154.92797470092773   0.00787178244698348
155.92797470092773   0.00787178244698348
156.92797470092773   0.00787178244698348
157.92797470092773   0.00787178244698348
158.92797470092773   0.00787178244698348
159.92797470092773   0.00787178244698348
160.92797470092773   0.00787178244698348
161.92797470092773   0.00787178244698348
162.92797470092773   0.00787178244698348
163.92797470092773   0.00787178244698348
164.92797470092773   0.00787178244698348
165.92797470092773   0.00787178244698348
166.92797470092773   0.00787178244698348
167.92797470092773   0.00787178244698348
168.92797470092773   0.00787178244698348
169.92797470092773   0.00787178244698348
170.92797470092773   0.00787178244698348
171.92797470092773   0.00787178244698348
172.92797470092773   0.00787178244698348
173.92797470092773   0.00787178244698348
174.92797470092773   0.00787178244698348
175.92797470092773   0.00787178244698348
176.92797470092773   0.00787178244698348
177.92797470092773   0.00787178244698348
178.92797470092773   0.00787178244698348
179.92797470092773   0.00787178244698348
180.92797470092773   0.00787178244698348
181.92797470092773   0.00787178244698348
182.92797470092773   0.00787178244698348
183.92797470092773   0.00787178244698348
184.92797470092773   0.00787178244698348
185.92797470092773   0.00787178244698348
186.92797470092773   0.00787178244698348
187.92797470092773   0.00787178244698348
188.92797470092773   0.00787178244698348
189.92797470092773   0.00787178244698348
190.92797470092773   0.00787178244698348
191.92797470092773   0.00787178244698348
192.92797470092773   0.00787178244698348
193.92797470092773   0.00787178244698348
194.92797470092773   0.00787178244698348
195.92797470092773   0.00787178244698348
196.92797470092773   0.00787178244698348
197.92797470092773   0.00787178244698348
198.92797470092773   0.00787178244698348
199.92797470092773   0.008108472889069813
200.92797470092773   0.008424830189229108
201.92797470092773   0.008424830189229108
202.92797470092773   0.008424830189229108
203.92797470092773   0.008424830189229108
204.92797470092773   0.008424830189229108
205.92797470092773   0.008424830189229108
206.92797470092773   0.008424830189229108
207.92797470092773   0.008424830189229108
208.92797470092773   0.008424830189229108
