# O photoionisation cross section
# Alan Heays 2017-12-15
# references: mendoza1996 http://stacks.iop.org/1402-4896/1996/i=T65/a=030, TOPbase, huebner2015 10.1016/j.pss.2014.11.022,
# wavelength: Wavelength (nm)
# photoabsorption: Photoabsorption cross section (cm2)
# photoionisation: Photoionisation cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
  18.0000000       2.63002e-18       2.63002e-18
  18.1000000       2.67426e-18       2.67426e-18
  18.2000000       2.71849e-18       2.71849e-18
  18.3000000       2.76327e-18       2.76327e-18
  18.4000000       2.80905e-18       2.80905e-18
  18.5000000       2.85485e-18       2.85485e-18
  18.6000000       2.90067e-18       2.90067e-18
  18.7000000       2.94791e-18       2.94791e-18
  18.8000000       2.99599e-18       2.99599e-18
  18.9000000       3.04406e-18       3.04406e-18
  19.0000000       3.09225e-18       3.09225e-18
  19.1000000       3.14166e-18       3.14166e-18
  19.2000000       3.19139e-18       3.19139e-18
  19.3000000       3.24111e-18       3.24111e-18
  19.4000000       3.29118e-18       3.29118e-18
  19.5000000       3.34299e-18       3.34299e-18
  19.6000000       3.39506e-18       3.39506e-18
  19.7000000       3.44713e-18       3.44713e-18
  19.8000000       3.49957e-18       3.49957e-18
  19.9000000       3.55347e-18       3.55347e-18
  20.0000000       3.60751e-18       3.60751e-18
  20.1000000       3.66155e-18       3.66155e-18
  20.2000000       3.71600e-18       3.71600e-18
  20.3000000       3.77199e-18       3.77199e-18
  20.4000000       3.82813e-18       3.82813e-18
  20.5000000       3.88427e-18       3.88427e-18
  20.6000000       3.94078e-18       3.94078e-18
  20.7000000       3.99918e-18       3.99918e-18
  20.8000000       4.05783e-18       4.05783e-18
  20.9000000       4.11648e-18       4.11648e-18
  21.0000000       4.17529e-18       4.17529e-18
  21.1000000       4.23567e-18       4.23567e-18
  21.2000000       4.29644e-18       4.29644e-18
  21.3000000       4.35722e-18       4.35722e-18
  21.4000000       4.41802e-18       4.41802e-18
  21.5000000       4.48052e-18       4.48052e-18
  21.6000000       4.54403e-18       4.54403e-18
  21.7000000       4.60754e-18       4.60754e-18
  21.8000000       4.67105e-18       4.67105e-18
  21.9000000       4.73533e-18       4.73533e-18
  22.0000000       4.80115e-18       4.80115e-18
  22.1000000       4.86702e-18       4.86702e-18
  22.2000000       4.93289e-18       4.93289e-18
  22.3000000       4.99898e-18       4.99898e-18
  22.4000000       5.06722e-18       5.06722e-18
  22.5000000       5.13600e-18       5.13600e-18
  22.6000000       5.20478e-18       5.20478e-18
  22.7000000       5.27356e-18       5.27356e-18
  22.8000000       5.33009e-18       5.33009e-18
  22.9000000       5.36767e-18       5.36767e-18
  23.0000000       5.40502e-18       5.40502e-18
  23.1000000       5.44238e-18       5.44238e-18
  23.2000000       5.47974e-18       5.47974e-18
  23.3000000       5.51709e-18       5.51709e-18
  23.4000000       5.55445e-18       5.55445e-18
  23.5000000       5.59181e-18       5.59181e-18
  23.6000000       5.64082e-18       5.64082e-18
  23.7000000       5.69012e-18       5.69012e-18
  23.8000000       5.72719e-18       5.72719e-18
  23.9000000       5.76098e-18       5.76098e-18
  24.0000000       5.80129e-18       5.80129e-18
  24.1000000       5.84422e-18       5.84422e-18
  24.2000000       5.88708e-18       5.88708e-18
  24.3000000       5.92455e-18       5.92455e-18
  24.4000000       5.95869e-18       5.95869e-18
  24.5000000       5.99284e-18       5.99284e-18
  24.6000000       6.02698e-18       6.02698e-18
  24.7000000       6.06113e-18       6.06113e-18
  24.8000000       6.09527e-18       6.09527e-18
  24.9000000       6.12942e-18       6.12942e-18
  25.0000000       6.16356e-18       6.16356e-18
  25.1000000       6.19771e-18       6.19771e-18
  25.2000000       6.23185e-18       6.23185e-18
  25.3000000       6.26600e-18       6.26600e-18
  25.4000000       6.30014e-18       6.30014e-18
  25.5000000       6.33439e-18       6.33439e-18
  25.6000000       6.36914e-18       6.36914e-18
  25.7000000       6.40394e-18       6.40394e-18
  25.8000000       6.43875e-18       6.43875e-18
  25.9000000       6.47356e-18       6.47356e-18
  26.0000000       6.50836e-18       6.50836e-18
  26.1000000       6.54317e-18       6.54317e-18
  26.2000000       6.57798e-18       6.57798e-18
  26.3000000       6.61278e-18       6.61278e-18
  26.4000000       6.64759e-18       6.64759e-18
  26.5000000       6.68240e-18       6.68240e-18
  26.6000000       6.71720e-18       6.71720e-18
  26.7000000       6.75201e-18       6.75201e-18
  26.8000000       6.78682e-18       6.78682e-18
  26.9000000       6.82162e-18       6.82162e-18
  27.0000000       6.85643e-18       6.85643e-18
  27.1000000       6.89124e-18       6.89124e-18
  27.2000000       6.92604e-18       6.92604e-18
  27.3000000       6.96085e-18       6.96085e-18
  27.4000000       6.99565e-18       6.99565e-18
  27.5000000       7.03046e-18       7.03046e-18
  27.6000000       7.06527e-18       7.06527e-18
  27.7000000       7.10007e-18       7.10007e-18
  27.8000000       7.13488e-18       7.13488e-18
  27.9000000       7.16969e-18       7.16969e-18
  28.0000000       7.20449e-18       7.20449e-18
  28.1000000       7.23930e-18       7.23930e-18
  28.2000000       7.27411e-18       7.27411e-18
  28.3000000       7.30891e-18       7.30891e-18
  28.4000000       7.34372e-18       7.34372e-18
  28.5000000       7.37853e-18       7.37853e-18
  28.6000000       7.41333e-18       7.41333e-18
  28.7000000       7.44814e-18       7.44814e-18
  28.8000000       7.48295e-18       7.48295e-18
  28.9000000       7.51775e-18       7.51775e-18
  29.0000000       7.55256e-18       7.55256e-18
  29.1000000       7.58736e-18       7.58736e-18
  29.2000000       7.62217e-18       7.62217e-18
  29.3000000       7.65698e-18       7.65698e-18
  29.4000000       7.69178e-18       7.69178e-18
  29.5000000       7.72659e-18       7.72659e-18
  29.6000000       7.76140e-18       7.76140e-18
  29.7000000       7.79620e-18       7.79620e-18
  29.8000000       7.83101e-18       7.83101e-18
  29.9000000       7.86582e-18       7.86582e-18
  30.0000000       7.90062e-18       7.90062e-18
  30.1000000       7.93543e-18       7.93543e-18
  30.2000000       7.97024e-18       7.97024e-18
  30.3000000       8.00498e-18       8.00498e-18
  30.4000000       8.03226e-18       8.03226e-18
  30.5000000       8.05440e-18       8.05440e-18
  30.6000000       8.07654e-18       8.07654e-18
  30.7000000       8.09867e-18       8.09867e-18
  30.8000000       8.12081e-18       8.12081e-18
  30.9000000       8.14295e-18       8.14295e-18
  31.0000000       8.16509e-18       8.16509e-18
  31.1000000       8.20547e-18       8.20547e-18
  31.2000000       8.22036e-18       8.22036e-18
  31.3000000       8.22162e-18       8.22162e-18
  31.4000000       8.25125e-18       8.25125e-18
  31.5000000       8.27064e-18       8.27064e-18
  31.6000000       8.39920e-18       8.39920e-18
  31.7000000       8.38485e-18       8.38485e-18
  31.8000000       8.41380e-18       8.41380e-18
  31.9000000       8.44274e-18       8.44274e-18
  32.0000000       8.51373e-18       8.51373e-18
  32.1000000       8.39290e-18       8.39290e-18
  32.2000000       8.43764e-18       8.43764e-18
  32.3000000       8.48238e-18       8.48238e-18
  32.4000000       8.52711e-18       8.52711e-18
  32.5000000       8.57185e-18       8.57185e-18
  32.6000000       8.61658e-18       8.61658e-18
  32.7000000       8.66132e-18       8.66132e-18
  32.8000000       8.71288e-18       8.71288e-18
  32.9000000       8.76920e-18       8.76920e-18
  33.0000000       8.81188e-18       8.81188e-18
  33.1000000       8.88913e-18       8.88913e-18
  33.2000000       8.74187e-18       8.74187e-18
  33.3000000       9.23098e-18       9.23098e-18
  33.4000000       8.82429e-18       8.82429e-18
  33.5000000       8.84084e-18       8.84084e-18
  33.6000000       8.87659e-18       8.87659e-18
  33.7000000       8.91234e-18       8.91234e-18
  33.8000000       8.98894e-18       8.98894e-18
  33.9000000       9.12442e-18       9.12442e-18
  34.0000000       9.12282e-18       9.12282e-18
  34.1000000       9.13855e-18       9.13855e-18
  34.2000000       9.15428e-18       9.15428e-18
  34.3000000       9.17002e-18       9.17002e-18
  34.4000000       9.18575e-18       9.18575e-18
  34.5000000       9.20148e-18       9.20148e-18
  34.6000000       9.21721e-18       9.21721e-18
  34.7000000       9.23294e-18       9.23294e-18
  34.8000000       9.24867e-18       9.24867e-18
  34.9000000       9.26441e-18       9.26441e-18
  35.0000000       9.28014e-18       9.28014e-18
  35.1000000       9.29587e-18       9.29587e-18
  35.2000000       9.46565e-18       9.46565e-18
  35.3000000       9.51710e-18       9.51710e-18
  35.4000000       9.50599e-18       9.50599e-18
  35.5000000       9.51301e-18       9.51301e-18
  35.6000000       9.52003e-18       9.52003e-18
  35.7000000       9.52704e-18       9.52704e-18
  35.8000000       9.53406e-18       9.53406e-18
  35.9000000       9.54108e-18       9.54108e-18
  36.0000000       9.54810e-18       9.54810e-18
  36.1000000       9.55511e-18       9.55511e-18
  36.2000000       9.56213e-18       9.56213e-18
  36.3000000       9.56915e-18       9.56915e-18
  36.4000000       9.68502e-18       9.68502e-18
  36.5000000       9.78036e-18       9.78036e-18
  36.6000000       9.76107e-18       9.76107e-18
  36.7000000       9.72745e-18       9.72745e-18
  36.8000000       9.81168e-18       9.81168e-18
  36.9000000       9.77238e-18       9.77238e-18
  37.0000000       9.81838e-18       9.81838e-18
  37.1000000       9.94753e-18       9.94753e-18
  37.2000000       9.96170e-18       9.96170e-18
  37.3000000       9.97588e-18       9.97588e-18
  37.4000000       9.99005e-18       9.99005e-18
  37.5000000       1.00042e-17       1.00042e-17
  37.6000000       1.00295e-17       1.00295e-17
  37.7000000       1.00678e-17       1.00678e-17
  37.8000000       1.00788e-17       1.00788e-17
  37.9000000       1.00898e-17       1.00898e-17
  38.0000000       1.01009e-17       1.01009e-17
  38.1000000       1.01119e-17       1.01119e-17
  38.2000000       1.01229e-17       1.01229e-17
  38.3000000       1.01339e-17       1.01339e-17
  38.4000000       1.01449e-17       1.01449e-17
  38.5000000       1.01560e-17       1.01560e-17
  38.6000000       1.01670e-17       1.01670e-17
  38.7000000       1.01780e-17       1.01780e-17
  38.8000000       1.01890e-17       1.01890e-17
  38.9000000       1.02000e-17       1.02000e-17
  39.0000000       1.02111e-17       1.02111e-17
  39.1000000       1.02221e-17       1.02221e-17
  39.2000000       1.02331e-17       1.02331e-17
  39.3000000       1.05921e-17       1.05921e-17
  39.4000000       1.05542e-17       1.05542e-17
  39.5000000       1.05723e-17       1.05723e-17
  39.6000000       1.05904e-17       1.05904e-17
  39.7000000       1.06086e-17       1.06086e-17
  39.8000000       1.06267e-17       1.06267e-17
  39.9000000       1.06449e-17       1.06449e-17
  40.0000000       1.06630e-17       1.06630e-17
  40.1000000       1.06811e-17       1.06811e-17
  40.2000000       1.06993e-17       1.06993e-17
  40.3000000       1.07174e-17       1.07174e-17
  40.4000000       1.07355e-17       1.07355e-17
  40.5000000       1.07537e-17       1.07537e-17
  40.6000000       1.07718e-17       1.07718e-17
  40.7000000       1.07899e-17       1.07899e-17
  40.8000000       1.08081e-17       1.08081e-17
  40.9000000       1.08262e-17       1.08262e-17
  41.0000000       1.08443e-17       1.08443e-17
  41.1000000       1.08625e-17       1.08625e-17
  41.2000000       1.08806e-17       1.08806e-17
  41.3000000       1.08987e-17       1.08987e-17
  41.4000000       1.09169e-17       1.09169e-17
  41.5000000       1.09350e-17       1.09350e-17
  41.6000000       1.09531e-17       1.09531e-17
  41.7000000       1.09713e-17       1.09713e-17
  41.8000000       1.09894e-17       1.09894e-17
  41.9000000       1.10075e-17       1.10075e-17
  42.0000000       1.10257e-17       1.10257e-17
  42.1000000       1.10438e-17       1.10438e-17
  42.2000000       1.10619e-17       1.10619e-17
  42.3000000       1.10801e-17       1.10801e-17
  42.4000000       1.10982e-17       1.10982e-17
  42.5000000       1.11163e-17       1.11163e-17
  42.6000000       1.11345e-17       1.11345e-17
  42.7000000       1.11526e-17       1.11526e-17
  42.8000000       1.11707e-17       1.11707e-17
  42.9000000       1.11889e-17       1.11889e-17
  43.0000000       1.12070e-17       1.12070e-17
  43.1000000       1.12251e-17       1.12251e-17
  43.2000000       1.12433e-17       1.12433e-17
  43.3000000       1.12614e-17       1.12614e-17
  43.4000000       1.12796e-17       1.12796e-17
  43.5000000       1.12977e-17       1.12977e-17
  43.6000000       1.13158e-17       1.13158e-17
  43.7000000       1.12151e-17       1.12151e-17
  43.8000000       1.10309e-17       1.10309e-17
  43.9000000       1.14353e-17       1.14353e-17
  44.0000000       1.16074e-17       1.16074e-17
  44.1000000       1.10896e-17       1.10896e-17
  44.2000000       1.19194e-17       1.19194e-17
  44.3000000       1.16553e-17       1.16553e-17
  44.4000000       1.10751e-17       1.10751e-17
  44.5000000       1.05936e-17       1.05936e-17
  44.6000000       1.22727e-17       1.22727e-17
  44.7000000       1.21992e-17       1.21992e-17
  44.8000000       1.16884e-17       1.16884e-17
