29  2 5.041E-10 0.5828 2.701E+04 2.082E+08
30  2 5.258E-10 0.5832 2.882E+04 2.221E+08
36  2 6.300E-10 0.5851 4.346E+04 3.140E+08
42  2 8.161E-10 0.5972 5.082E+04 4.054E+08
54  2 1.082E-09 0.6049 8.335E+04 6.391E+08
 4  3 1.793E-10 0.7669 8.938E-01 2.138E+06 0.0310 1.382E+04
 5  3 3.417E-10 0.7512 3.604E+00 2.821E+06 0.0351 1.295E+07
 6  3 1.120E-10 0.6737 1.115E+02 5.938E+06
 7  3 1.533E-10 0.6682 1.823E+02 7.751E+06
 8  3 1.724E-10 0.6556 3.372E+02 1.030E+07
 9  3 2.244E-10 0.6574 4.147E+02 1.268E+07
10  3 2.755E-10 0.6586 5.102E+02 1.535E+07
11  3 3.171E-10 0.6576 6.526E+02 1.848E+07
12  3 3.445E-10 0.6553 8.693E+02 2.196E+07
13  3 3.916E-10 0.6565 1.025E+03 2.544E+07
14  3 4.633E-10 0.6602 1.088E+03 2.896E+07
15  3 4.972E-10 0.6581 1.329E+03 3.346E+07
16  3 5.511E-10 0.6598 1.492E+03 3.755E+07
17  3 6.038E-10 0.6611 1.670E+03 4.213E+07
18  3 6.557E-10 0.6624 1.868E+03 4.693E+07
19  3 7.052E-10 0.6613 2.094E+03 5.246E+07
20  3 7.848E-10 0.6644 2.173E+03 5.749E+07
21  3 8.463E-10 0.6653 2.355E+03 6.304E+07
22  3 9.040E-10 0.6666 2.565E+03 6.864E+07
23  3 9.483E-10 0.6655 2.859E+03 7.531E+07
24  3 9.718E-10 0.6643 3.285E+03 8.221E+07
25  3 1.065E-09 0.6668 3.327E+03 8.827E+07
26  3 1.186E-09 0.6713 3.253E+03 9.392E+07
27  3 1.181E-09 0.6681 3.839E+03 1.023E+08
28  3 1.259E-09 0.6699 3.991E+03 1.094E+08
29  3 1.249E-09 0.6668 4.697E+03 1.181E+08
30  3 1.381E-09 0.6705 4.543E+03 1.249E+08
36  3 1.674E-09 0.6723 6.836E+03 1.776E+08
42  3 1.926E-09 0.6717 9.982E+03 2.408E+08
54  3 2.883E-09 0.6818 1.355E+04 3.811E+08
 5  4 1.998E-09 0.8277 1.269E-02 1.016E+06 0.0901 3.058E+04
 6  4 2.067E-09 0.8012 1.643E-01 2.172E+06 0.0427 6.341E+04
 7  4 7.923E-10 0.7768 3.750E+00 3.468E+06 0.0223 7.206E+04
 8  4 3.955E-09 0.7813 6.821E-01 5.076E+06
 9  4 3.298E-09 0.7702 2.103E+00 6.441E+06
10  4 2.557E-09 0.7601 6.293E+00 8.091E+06
11  4 1.654E-09 0.7508 2.276E+01 9.950E+06
12  4 3.989E-10 1.0231 2.601E+01 1.227E+07
13  4 1.578E-09 0.7394 6.157E+01 1.427E+07
14  4 1.851E-09 0.7384 6.906E+01 1.644E+07
15  4 1.543E-09 0.7315 1.330E+02 1.926E+07
16  4 1.740E-09 0.7303 1.494E+02 2.193E+07
17  4 2.027E-09 0.7307 1.541E+02 2.470E+07
18  4 2.165E-09 0.7307 1.801E+02 2.753E+07
19  4 2.224E-09 0.7299 2.212E+02 3.069E+07
20  4 2.421E-09 0.7278 2.438E+02 3.424E+07
21  4 2.253E-09 0.7253 3.425E+02 3.802E+07
22  4 2.463E-09 0.7249 3.638E+02 4.164E+07
23  4 2.660E-09 0.7253 3.897E+02 4.538E+07
24  4 2.747E-09 0.7251 4.436E+02 4.921E+07
25  4 2.589E-09 0.7216 5.887E+02 5.400E+07
26  4 3.322E-09 0.7264 4.563E+02 5.746E+07
27  4 3.885E-09 0.7301 4.100E+02 6.101E+07
28  4 3.531E-09 0.7260 5.650E+02 6.627E+07
29  4 3.862E-09 0.7272 5.631E+02 7.100E+07
30  4 4.233E-09 0.7283 5.568E+02 7.545E+07
36  4 4.645E-09 0.7261 1.018E+03 1.083E+08
42  4 6.974E-09 0.7318 9.622E+02 1.438E+08
54  4 1.052E-08 0.7363 1.319E+03 2.321E+08
 6  5 2.995E-09 0.7849 6.670E-03 1.943E+06 0.1597 4.955E+04
 7  5 2.410E-09 0.7948 1.231E-01 3.016E+06 0.0774 1.016E+05
 8  5 2.501E-09 0.7844 5.235E-01 4.470E+06 0.0447 1.642E+05
 9  5 2.236E-09 0.7725 1.828E+00 5.982E+06 0.0319 2.529E+05
10  5 1.127E-09 0.7556 1.311E+01 8.047E+06 0.0250 2.771E+05
11  5 4.040E-09 0.7665 2.908E+00 1.043E+07
12  5 3.859E-09 0.7579 5.587E+00 1.235E+07
13  5 2.284E-09 0.7480 2.178E+01 1.460E+07
14  5 1.688E-09 0.7390 5.549E+01 1.716E+07
15  5 1.948E-09 0.7375 6.372E+01 1.947E+07
16  5 1.702E-09 0.7301 1.138E+02 2.253E+07
17  5 1.655E-09 0.7262 1.636E+02 2.543E+07
18  5 1.780E-09 0.7252 1.933E+02 2.837E+07
19  5 2.079E-09 0.7245 1.954E+02 3.156E+07
20  5 2.019E-09 0.7215 2.644E+02 3.506E+07
21  5 2.055E-09 0.7200 3.236E+02 3.860E+07
22  5 1.959E-09 0.7169 4.381E+02 4.258E+07
23  5 2.131E-09 0.7166 4.679E+02 4.637E+07
