2.13311212e-03   2.00628650e+04
2.73070302e-03   1.58919552e+04
3.91981608e-03   1.32323741e+04
4.80620688e-03   1.48670281e+04
5.53695273e-03   2.36930294e+04
7.16836874e-03   2.17994999e+04
7.91482188e-03   1.67020735e+04
9.25279719e-03   1.34514873e+04
1.01495405e-02   9.32648414e+03
1.01595361e-02   5.85205147e+03
1.10573503e-02   3.85983749e+03
1.22536031e-02   2.30383311e+03
1.40331674e-02   2.11969940e+03
1.43141136e-02   4.33623262e+03
1.44544083e-02   6.25383158e+03
1.60761857e-02   9.01888848e+03
1.65117059e-02   1.36731330e+04
1.66520006e-02   1.97197610e+04
1.69432994e-02   2.48943735e+04
1.78232645e-02   3.77405470e+04
1.81252728e-02   2.89161242e+04
1.84265671e-02   2.29049747e+04
1.93186696e-02   1.97175728e+04
1.96171081e-02   1.78432749e+04
2.02164839e-02   1.30051192e+04
2.11135842e-02   8.86815068e+03
2.25968519e-02   8.15946491e+03
2.34875265e-02   7.50759791e+03
2.40704811e-02   1.17671474e+04
2.55416114e-02   1.90670348e+04
2.59949808e-02   1.25762764e+04
2.67478597e-02   7.14093921e+03
2.76288957e-02   1.02985376e+04
2.87391153e-02   3.39490623e+05
2.97240337e-02   3.85684042e+03
3.08185460e-02   2.64457853e+05
3.14557621e-02   3.30164590e+04
3.14632588e-02   2.32767922e+04
3.17670520e-02   1.64100691e+04
3.26523718e-02   1.93813296e+04
3.36965495e-02   1.38926912e+04
3.38386290e-02   1.84363686e+04
3.44476434e-02   8.57302826e+03
3.54859308e-02   8.08749986e+03
3.67376945e-02   3.62742877e+05
3.69268960e-02   5.34897013e+04
3.71043169e-02   1.36614212e+04
3.73866911e-02   2.61467967e+04
3.74131079e-02   7.62918688e+03
3.74298861e-02   3.48914416e+03
3.76008814e-02   1.20244500e+03
3.83544742e-02   6.60405434e+02
4.01340385e-02   6.07622572e+02
4.02732622e-02   9.21200732e+02
4.18889709e-02   1.76300192e+03
4.22002608e-02   8.76259425e+02
4.31007524e-02   5.10125072e+02
4.36799587e-02   9.52249030e+02
4.45770590e-02   6.49335678e+02
4.45877685e-02   3.94095615e+02
4.57708128e-02   4.35465463e+02
4.60571138e-02   6.93997939e+02
