1.08356422e+00 1.00173468e+00
1.08356132e+00 1.00156869e+00
1.08355546e+00 1.00051699e+00
1.08355106e+00 9.99742055e-01
1.08354528e+00 9.99686891e-01
1.08353523e+00 1.00013015e+00
1.08353086e+00 9.99742754e-01
1.08354083e+00 9.98302962e-01
1.08352502e+00 9.98967869e-01
1.08352228e+00 1.00057350e+00
1.08351649e+00 1.00035225e+00
1.08351074e+00 1.00057390e+00
1.08350064e+00 1.00057425e+00
1.08349634e+00 1.00085121e+00
1.08350656e+00 1.00223494e+00
1.08349061e+00 1.00129432e+00
1.08348620e+00 1.00040866e+00
1.08348036e+00 9.99633775e-01
1.08347615e+00 1.00096264e+00
1.08347044e+00 1.00162720e+00
1.08346746e+00 1.00063076e+00
1.08346023e+00 1.00040956e+00
1.08345583e+00 9.99634623e-01
1.08345147e+00 9.99302594e-01
1.08344566e+00 9.98859889e-01
1.08343132e+00 9.99801561e-01
1.08342558e+00 1.00013394e+00
1.08344007e+00 1.00085316e+00
1.08343577e+00 1.00113013e+00
1.08342139e+00 1.00173962e+00
1.08341559e+00 1.00140764e+00
1.08341126e+00 1.00140779e+00
1.08340550e+00 1.00146335e+00
1.08340120e+00 1.00174032e+00
1.08339527e+00 1.00007963e+00
1.08339084e+00 9.98861786e-01
1.08338496e+00 9.97643996e-01
1.08338076e+00 9.99083588e-01
1.08337512e+00 1.00057859e+00
1.08337072e+00 9.99748295e-01
1.08336486e+00 9.98807321e-01
1.08336060e+00 9.99527192e-01
1.08335484e+00 9.99693481e-01
1.08335055e+00 1.00002581e+00
1.08334483e+00 1.00069037e+00
1.08334046e+00 1.00013689e+00
1.08333611e+00 9.99915582e-01
1.08333023e+00 9.98697793e-01
1.08332589e+00 9.98587216e-01
1.08332021e+00 9.99639316e-01
1.08331592e+00 1.00002701e+00
1.08331018e+00 1.00041475e+00
1.08330439e+00 1.00013813e+00
1.08330013e+00 1.00091337e+00
1.08329578e+00 1.00063670e+00
1.08328995e+00 1.00002791e+00
1.08328550e+00 9.98643977e-01
1.08327973e+00 9.98644177e-01
1.08327544e+00 9.99142595e-01
1.08326964e+00 9.98755253e-01
1.08326533e+00 9.98976855e-01
1.08325967e+00 1.00019504e+00
1.08325529e+00 9.99696925e-01
