1.08314735e+00 1.00143519e+00
1.08314161e+00 9.99907407e-01
1.08313588e+00 9.99768519e-01
1.08313014e+00 1.00027778e+00
1.08312484e+00 1.00055556e+00
1.08311866e+00 9.99490741e-01
1.08311337e+00 9.99074074e-01
1.08310719e+00 9.99537037e-01
1.08310145e+00 1.00180556e+00
1.08309571e+00 9.99351852e-01
1.08308997e+00 9.98101852e-01
1.08308424e+00 9.97592593e-01
1.08307850e+00 9.97916667e-01
1.08307276e+00 1.00101852e+00
1.08306702e+00 9.99027778e-01
1.08306173e+00 9.98287037e-01
1.08305555e+00 9.98148148e-01
1.08305025e+00 9.98101852e-01
1.08304496e+00 9.97870370e-01
1.08303878e+00 9.95046296e-01
1.08303304e+00 9.92777778e-01
1.08302730e+00 9.91481481e-01
1.08302201e+00 9.91435185e-01
1.08301627e+00 9.93055556e-01
1.08301053e+00 9.93611111e-01
1.08300479e+00 9.94953704e-01
1.08299905e+00 9.96388889e-01
1.08299332e+00 9.96944444e-01
1.08298802e+00 9.96851852e-01
1.08298184e+00 9.97129630e-01
1.08297654e+00 9.96944444e-01
1.08297037e+00 9.99305556e-01
1.08296463e+00 9.98148148e-01
1.08295933e+00 9.98148148e-01
1.08295359e+00 9.99444444e-01
1.08294786e+00 1.00004630e+00
1.08294168e+00 1.00023148e+00
1.08293594e+00 9.98611111e-01
1.08293064e+00 1.00009259e+00
1.08292491e+00 1.00162037e+00
1.08291917e+00 9.99259259e-01
1.08291343e+00 9.98657407e-01
1.08290769e+00 9.98240741e-01
1.08290195e+00 9.99953704e-01
1.08289622e+00 1.00083333e+00
1.08289048e+00 1.00018519e+00
1.08288474e+00 9.99537037e-01
1.08287856e+00 9.98333333e-01
1.08287327e+00 9.97592593e-01
1.08286753e+00 1.00018519e+00
1.08286179e+00 1.00037037e+00
1.08285605e+00 9.99722222e-01
1.08285032e+00 9.99212963e-01
1.08284458e+00 9.98750000e-01
1.08283884e+00 9.99212963e-01
1.08283310e+00 1.00101852e+00
1.08282736e+00 9.98935185e-01
1.08282163e+00 1.00143519e+00
1.08281545e+00 1.00060185e+00
1.08281015e+00 9.99722222e-01
1.08280441e+00 9.98981481e-01
